id,comment
160,アドバイスを保留って冷静になんやねんこいつってなるでしょ
161,こういう時に頼られる彼方さんなんだよな
162,それ持って帰るのか…
163,持ち帰りｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
164,やっぱりニジガクはゆうぽむが話の軸になるんだなぁ　
165,見つけた！
166,これはあげないよ？
167,これはあげないよｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
168,
169,彼方ちゃんには荷が重い相談内容やな…
170,
171,もう彼方ちゃんカウンセラー目指そう
172,完全に相談窓口になってるわね？？？？？
173,彼方ちゃん独り言言っても。。。
174,かわいい
175,スクールアイドルって最高ですよね！！
176,うんうん！分かる！
177,なんと！
178,座席3つ分のデカさ
179,や、そういえば彼方ちゃんその巨大半紙はどこで調達したの
180,どうしよう！
181,そっちから食いついていくのか…
182,ビックサイトみたいなところで大晦日に祭りをやったらそれはもう冬コミなんだよ
183,あかりん「そうしたいって思ってたんだ～」
184,学生証でドリンクかえるの！！！！
185,なるほど〜〜〜まずは応援するのね
186,けつ
187,ありがとーう
188,ラブライブ！は遊びじゃないからね……
189,みえ ‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍
190,クソデカ書道の引き取り先見つかってよかったね
191,無観客でも応援したい(世知辛い)
192,順番未定
193,こんな事もあろうかと枠
194,スクールアイドルみんなで応援プロジェクトスタートです！
195,ラブライブを戦う者たちへのエール、その作戦とは・・・・・・
196,みんなで応援プロジェクト
197,ていうか、短期留学なのに長らく離れ離れになるようなテンション出してくる歩夢、だいぶ限界だな
198,タンクトップえっち　
199,ふむ…
200,ﾉｼ
201,ミニスカモブ
202,アイコンタクト
203,クソレズアイコンタクト
204,国際フォーラム
205,こちらも勝負時…
206,緊張
207,
208,( ﾟдﾟ)ﾊｯ!
209,URL適当すぎる
210,こういう形で『ラブライブ』と関わるのか
211,メアド知ってるんだ
212,じ～～～～～
213,スクールアイドル応援プロジェクト!? ライブ前にキャストさんにやりたい なぁ
214,そういうクリスも脚震えてるよ。（テニミュ）
215,みんなー！
216,こういうメールは開いちゃダメですよ
217,https対応して…
218,おぉ、これは胸熱・・・・！！！！ ‍‍‍‍‍‍‍‍
219,あたしも！？
220,虹ヶ咲メンバーがスクフェス側を応援する………尊いじゃねえか　
221,この流れでその書道出してくるのはさすがに遥が　
222,無問題ラ！
223,ランジュさんすっかり萌えキャラになっちゃって ‍
224,光る棒ｗ
225,会長めちゃくちゃ気合入ってるなｗｗｗｗｗｗ ‍‍‍‍‍‍‍‍
226,「応援したい」気持ちは１つ か…… 歩夢も……
227,がんばえー
228,すげえ
229,水をスクリーンに！？！？？！！？？
230,
231,気持ち、届いたんだね
232,モブライブ！がラブライブ！を目指すながれ　
233,距離が離れたって（２週間）
234, スクールアイドル応援PJ…優しい世界
235,押してくれた手のぬくもりは残るよ？
236,押してくれた手のぬくもりは残るよ
237,お前めっちゃいい事言うじゃん……
238,繋がる心がスクールアイドルの力だ！
239,どんどん進んでくれなきゃ
240,主人公たちの出ないラブライブ！予選というのも不思議な光景ですなぁ　 ε-(´∀｀; ) 
241,ラブリーはるかのせいで森島はるかがチラつく
242,ちょっと留学してくる ‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍
243,彼方ｧ ええこと言うやんけｪ···
244,励ましてね
245,ほんま彼方ちゃん、マジ彼方ちゃん…
246,わたしも決めた！
247,歩夢ちゃん…ちゃんと侑ちゃん離れできたわね…
248,ピアノの練習をしてるのを黙ってたくらいで押し倒したのに自分は留学のことを急に話すという
249,そして彼方ちゃんの先輩っぷりに本当に感動した
250,( ˘ω˘ ) ｽﾔｧ…
251,なんか今日の侑ちゃんキャラデザ太くない？
252,次回「歩夢、英国面に堕ちる」
253,キモいカップルがキモくなくなった　良かった
254,歩夢、留学決定 (・8・)ｲｯﾃﾗｯｼｬｲちゅん
255,燃えてｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
256,トキメキ全開だよ
257,フェスそっちのけで二人の世界を作るゆうぽむ
258,全員のソロ曲！？
259,トキメキ全開！！
260,勢いヤベエｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
261,歩夢ちゃん留学、そして侑ちゃんコンクールにチャレンジか・・・ふたりともがんばれ。
262,全員のソロ曲作ったwwwwwwwwww
263,全員のソロ曲を一晩で！？ウソでしょ…！？
264,勢いで作れるもんじゃあねえだろ…
265,全員分の曲を作る、勢いがありすぎる…いや、勢いしかない
266,キャスト
267,畑亜貴でもできるのか？っていう所業だな・・・
268,「全員のソロ曲作っちゃった」天才かよ
269,もうプロの作曲家になれるでしょ……
270,ゆうぽむとかなはるを重ねるの上手いな
271,先週は果林さんで今週は彼方ちゃん。……なんか最終回に向けて3年生にスポット当ててってる感？
272,協力
